epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2119.78,1.59938,1.88232,1.93533,0.61528,0.64707,0.678,0.31795,1.6245,1.56709,2.00663,0.000843851,0.000843851,0.000843851
28,2172.33,1.5723,1.82679,1.9124,0.68959,0.2705,0.32539,0.1344,2.13247,3.26056,2.62889,0.000832349,0.000832349,0.000832349
29,2225.25,1.58285,1.80969,1.90079,0.65619,0.6132,0.68176,0.32443,1.62482,1.61358,1.94638,0.000820525,0.000820525,0.000820525
30,2277.89,1.57258,1.81169,1.90099,0.50916,0.56699,0.59967,0.27734,1.83459,2.04596,2.08857,0.000808389,0.000808389,0.000808389
31,2368.27,1.55074,1.76766,1.87769,0.77283,0.6242,0.69931,0.38346,1.56574,1.39426,1.8952,0.000795954,0.000795954,0.000795954
32,2420.97,1.56221,1.76024,1.89633,0.56999,0.68688,0.70744,0.34261,1.65841,1.40413,1.99318,0.000783231,0.000783231,0.000783231
33,2473.56,1.54499,1.76346,1.88051,0.61537,0.61885,0.60061,0.32147,1.56689,1.4564,1.90689,0.000770234,0.000770234,0.000770234
34,2577.3,1.546,1.76021,1.8724,0.73378,0.56804,0.71586,0.30801,1.70687,1.53375,2.0241,0.000756976,0.000756976,0.000756976
35,2629.67,1.51486,1.70855,1.84748,0.68203,0.65462,0.71164,0.36773,1.58002,1.41319,1.88136,0.000743468,0.000743468,0.000743468
36,2683.91,1.52786,1.7044,1.85043,0.58089,0.62383,0.64963,0.27601,1.8532,1.83164,2.10907,0.000729725,0.000729725,0.000729725
37,2786.84,1.5015,1.68932,1.83602,0.58182,0.69211,0.69124,0.36861,1.58933,1.4853,1.90092,0.000715761,0.000715761,0.000715761
38,2839.41,1.5053,1.68322,1.83594,0.6024,0.6952,0.7594,0.42344,1.52537,1.40401,1.85211,0.000701588,0.000701588,0.000701588
39,2891.37,1.49973,1.6757,1.82866,0.79163,0.52292,0.64914,0.36397,1.55953,1.41362,1.8995,0.000687222,0.000687222,0.000687222
40,2943.95,1.50329,1.67487,1.82856,0.8045,0.621,0.68444,0.38856,1.57344,1.33659,1.87401,0.000672675,0.000672675,0.000672675
41,2996.62,1.49805,1.66444,1.82637,0.67244,0.74293,0.76604,0.42143,1.51343,1.34176,1.77823,0.000657963,0.000657963,0.000657963
