epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3135.03,1.19781,1.05933,1.37585,0.61583,0.77918,0.77365,0.45483,1.48464,1.07659,1.5829,0.000214046,0.000214046,0.000214046
72,3177.82,1.18136,1.06747,1.37229,0.69902,0.76191,0.75708,0.46372,1.44104,1.01468,1.56115,0.000201611,0.000201611,0.000201611
73,3220.47,1.19184,1.08192,1.37761,0.69545,0.66656,0.73984,0.43063,1.47448,1.05969,1.60488,0.000189475,0.000189475,0.000189475
74,3265.88,1.17358,1.05382,1.36891,0.69771,0.69081,0.77052,0.42508,1.52937,1.04487,1.63351,0.000177651,0.000177651,0.000177651
75,3309.03,1.16219,1.04301,1.36422,0.63458,0.74232,0.73501,0.44002,1.5066,1.05838,1.64158,0.000166149,0.000166149,0.000166149
76,3352.49,1.15852,1.04444,1.36085,0.59398,0.76169,0.73486,0.43693,1.54108,1.07149,1.64332,0.000154982,0.000154982,0.000154982
77,3396.44,1.1768,1.04711,1.36066,0.62021,0.75146,0.73633,0.41706,1.52716,1.14117,1.61204,0.000144161,0.000144161,0.000144161
78,3440.84,1.162,1.04426,1.3559,0.65075,0.73458,0.74856,0.43943,1.46376,1.12683,1.57378,0.000133695,0.000133695,0.000133695
79,3484.02,1.13805,1.01859,1.34657,0.63728,0.76131,0.75716,0.43281,1.54016,1.15037,1.64752,0.000123596,0.000123596,0.000123596
80,3526.61,1.1611,1.034,1.36274,0.65081,0.7742,0.76288,0.43263,1.49342,1.12753,1.62737,0.000113873,0.000113873,0.000113873
81,3571.75,1.15052,1.02454,1.34865,0.63395,0.78572,0.77192,0.43922,1.54571,1.10603,1.64672,0.000104537,0.000104537,0.000104537
82,3615.87,1.14854,1.01825,1.3583,0.65184,0.76206,0.77258,0.4557,1.51488,1.06714,1.63362,9.55951e-05,9.55951e-05,9.55951e-05
83,3659.24,1.16274,1.03326,1.36942,0.75058,0.65962,0.77099,0.44574,1.47491,1.06086,1.60388,8.70577e-05,8.70577e-05,8.70577e-05
84,3702.6,1.12979,1.00356,1.34358,0.69889,0.7539,0.75326,0.41853,1.54192,1.10498,1.67445,7.89327e-05,7.89327e-05,7.89327e-05
85,3743.92,1.14053,1.00996,1.34132,0.58755,0.75459,0.73087,0.40549,1.51773,1.12762,1.63969,7.12282e-05,7.12282e-05,7.12282e-05
86,3787.01,1.13868,0.99963,1.34691,0.62546,0.73397,0.75653,0.43306,1.52017,1.08361,1.64024,6.39518e-05,6.39518e-05,6.39518e-05
87,3831.25,1.13772,1.01466,1.3475,0.67582,0.7815,0.75255,0.43434,1.49784,1.10431,1.63086,5.71106e-05,5.71106e-05,5.71106e-05
88,3874.4,1.14285,1.01148,1.34477,0.689,0.76462,0.75651,0.43872,1.45742,1.11115,1.58753,5.07115e-05,5.07115e-05,5.07115e-05
89,3918.3,1.12067,1.00982,1.33404,0.64908,0.79391,0.7587,0.43792,1.49532,1.08605,1.60765,4.47606e-05,4.47606e-05,4.47606e-05
90,3964.07,1.12653,0.98887,1.33854,0.63462,0.77182,0.76358,0.44264,1.48787,1.08879,1.61176,3.9264e-05,3.9264e-05,3.9264e-05
91,4008.86,1.16742,0.99521,1.40716,0.6952,0.76302,0.78581,0.46699,1.46873,1.02256,1.60191,3.4227e-05,3.4227e-05,3.4227e-05
92,4050.97,1.11195,0.95184,1.3733,0.63522,0.78741,0.7801,0.46932,1.46291,1.02038,1.59827,2.96546e-05,2.96546e-05,2.96546e-05
93,4093.08,1.12574,0.92628,1.38291,0.63959,0.79749,0.75675,0.45178,1.44572,1.04205,1.58886,2.55513e-05,2.55513e-05,2.55513e-05
94,4135.86,1.11814,0.90771,1.37085,0.64343,0.77047,0.77715,0.45853,1.46859,1.03392,1.61674,2.19212e-05,2.19212e-05,2.19212e-05
95,4177.93,1.10499,0.91069,1.3561,0.64584,0.8187,0.76666,0.45864,1.48247,1.05076,1.62589,1.87678e-05,1.87678e-05,1.87678e-05
96,4218.57,1.11005,0.91096,1.36937,0.65266,0.80701,0.77508,0.45587,1.46053,1.04776,1.60728,1.60943e-05,1.60943e-05,1.60943e-05
97,4258.83,1.11489,0.90528,1.36782,0.65027,0.80727,0.78074,0.4601,1.46947,1.04696,1.61454,1.39032e-05,1.39032e-05,1.39032e-05
98,4299.26,1.10113,0.90031,1.35887,0.65879,0.80748,0.7811,0.46029,1.46688,1.0572,1.61685,1.21968e-05,1.21968e-05,1.21968e-05
99,4340.51,1.10438,0.90177,1.36003,0.6563,0.78519,0.78361,0.45734,1.47579,1.05111,1.62513,1.09768e-05,1.09768e-05,1.09768e-05
100,4381.13,1.0897,0.89755,1.36045,0.64951,0.78119,0.77624,0.45507,1.46094,1.06076,1.60274,1.02443e-05,1.02443e-05,1.02443e-05
