epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,2749.92,1.55502,1.78419,1.88316,0.69636,0.46586,0.60016,0.33234,1.59122,1.68726,1.99136,0.000795954,0.000795954,0.000795954
32,2803.25,1.55183,1.77474,1.89941,0.59597,0.67444,0.75148,0.40098,1.5677,1.39224,1.92451,0.000783231,0.000783231,0.000783231
33,2856.54,1.55038,1.78135,1.89171,0.61845,0.57744,0.64833,0.26581,1.95703,1.82757,2.21223,0.000770234,0.000770234,0.000770234
34,2962.55,1.53893,1.76754,1.87693,0.48972,0.53143,0.61303,0.26199,1.7877,1.67529,2.18495,0.000756976,0.000756976,0.000756976
35,3015.84,1.52268,1.72287,1.86255,0.79572,0.6089,0.70186,0.33058,1.69875,1.50441,1.99148,0.000743468,0.000743468,0.000743468
36,3129.25,1.52282,1.72009,1.86058,0.82051,0.59558,0.71776,0.39002,1.5032,1.43196,1.89083,0.000729725,0.000729725,0.000729725
37,3273.18,1.49467,1.7057,1.84266,0.55934,0.43851,0.51023,0.23109,1.77781,2.0852,2.22906,0.000715761,0.000715761,0.000715761
38,3435.55,1.49261,1.68929,1.83525,0.54083,0.67992,0.69033,0.39426,1.58786,1.39008,1.92476,0.000701588,0.000701588,0.000701588
39,3554.08,1.49761,1.67709,1.83923,0.77964,0.61458,0.71536,0.41625,1.5236,1.34686,1.92223,0.000687222,0.000687222,0.000687222
40,3607.08,1.51032,1.67397,1.84743,0.76245,0.6228,0.65841,0.36331,1.58034,1.50844,1.9784,0.000672675,0.000672675,0.000672675
41,3699.1,1.50282,1.6841,1.84354,0.53602,0.72328,0.70706,0.36784,1.67318,1.41183,1.9633,0.000657963,0.000657963,0.000657963
